Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:ca895ab76f1d3ab95f022cbca076e06b62daebafe61af34212bb3ed1fe982d78	amd64	windows	Windows Server 2016	4.8	4.8/runtime/windowsservercore-ltsc2016/Dockerfile	dotnet/framework/runtime	3/11/2020
sha256:4308c89ceac1a04af04590ecc56f2f3784ab1fdd21811a6426766cc817bcf9e5	amd64	windows	"Windows Server, version 1903"	3.5	3.5/runtime/windowsservercore-1903/Dockerfile	dotnet/framework/runtime	3/11/2020
sha256:746e54a4398bff0ad516d02fdb9eec5cba1a3b5ba0c15a82c051fc3dc753fe85	amd64	windows	Windows Server 2019	4.8	4.8/aspnet/windowsservercore-ltsc2019/Dockerfile	dotnet/framework/aspnet	3/11/2020
sha256:3088b996ed4f95619d8788f7dea72ceb491324e72f1d62a8584d52ccd934a466	amd64	windows	Windows Server 2016	3.5	3.5/aspnet/windowsservercore-ltsc2016/Dockerfile	dotnet/framework/aspnet	3/11/2020
sha256:b69a52a621f1ee11e63c3ce43b6b2c3c7992a53f743fe0d31636761d499288cc	amd64	windows	"Windows Server, version 1903"	4.8	4.8/wcf/windowsservercore-1903/Dockerfile	dotnet/framework/wcf	3/11/2020
sha256:2b4ecd3da782449f474d2d7263cf87e47b512d74647de91d37b26782de5733a0	amd64	windows	"Windows Server, version 1909"	4.8	4.8/runtime/windowsservercore-1909/Dockerfile	dotnet/framework/runtime	3/11/2020
sha256:5240c4385abfefa207b8a21790b6bf9c612061210322db6e548078a0ba8e23ba	amd64	windows	Windows Server 2016	3.5	3.5/runtime/windowsservercore-ltsc2016/Dockerfile	dotnet/framework/runtime	3/11/2020
sha256:8a01d1380931dc0139fb388a077846527b1a60e03c7c9bd1e6cf268fccf1992d	amd64	windows	"Windows Server, version 1903"	3.5	3.5/sdk/windowsservercore-1903/Dockerfile	dotnet/framework/sdk	3/11/2020
sha256:46e437185be62b2d17fa1186b936468a8b1e65043a4a22f5c8bc9113c368d6d7	amd64	windows	Windows Server 2019	4.7.2	4.7.2/aspnet/windowsservercore-ltsc2019/Dockerfile	dotnet/framework/aspnet	3/11/2020
sha256:17e904e1ea1c816b3fbec026c38b80fad5d883f8202e5661e7aad5c87f5d0560	amd64	windows	Windows Server 2016	4.8	4.8/wcf/windowsservercore-ltsc2016/Dockerfile	dotnet/framework/wcf	3/11/2020
sha256:708a9492c51140a07a0bd160c508dd6d17f3b061af0a3f53de607d671ee7176a	amd64	windows	Windows Server 2019	4.8	4.8/runtime/windowsservercore-ltsc2019/Dockerfile	dotnet/framework/runtime	3/11/2020
sha256:4cd9c405903371e5d8fe1802183c913eefc84295c27f9c60dceb6a0f1e5d5472	amd64	windows	"Windows Server, version 1903"	4.8	4.8/sdk/windowsservercore-1903/Dockerfile	dotnet/framework/sdk	3/11/2020
