Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:000135634d94bfde8ce263f9a4056c99e97fb1b0b09fe00f137ccd031565b4d5	arm64	Linux	Debian 10	3.1.7	src/aspnet/3.1/buster-slim/arm64v8/Dockerfile	dotnet/core-nightly/aspnet	2020-08-11 19.50.27.00
sha256:000885f548d45a5290e1f6bbcb82b98beecfbca6569018bd436815addb12e47e	amd64	Windows	"Windows Server, version 1909"	3.1.3	3.1/aspnet/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-05-07 00.26.06.00
sha256:0010525da276f967d52207f181868c30ebb567994636253b01bc65c67f7aff8a	amd64	Linux	Ubuntu 18.04	3.1.11	src/runtime-deps/3.1/bionic/amd64/Dockerfile	dotnet/nightly/runtime-deps	2021-01-21 12.09.24.00
sha256:0010525da276f967d52207f181868c30ebb567994636253b01bc65c67f7aff8a	amd64	Linux	Ubuntu 18.04	3.1.11	src/runtime-deps/3.1/bionic/amd64/Dockerfile	dotnet/core-nightly/runtime-deps	2021-01-21 12.09.24.00
sha256:0012765a167906c80dd03a58c8588fb7f4fe72cd0d49d892c0bb3d45f8883344	amd64	Linux	Alpine 3.11	3.1.4	3.1/aspnet/alpine3.11/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-06-03 21.27.05.00
sha256:0012765a167906c80dd03a58c8588fb7f4fe72cd0d49d892c0bb3d45f8883344	amd64	Linux	Alpine 3.12	3.1.4	3.1/aspnet/alpine3.12/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-06-03 21.27.05.00
sha256:001c4ab74c49fac9d4a589ed67ec0ebcefcad18e74da05bc68f83c4b6d224360	arm64	Linux	Ubuntu 18.04	3.1.6	src/runtime-deps/3.1/bionic/arm64v8/Dockerfile	dotnet/core-nightly/runtime-deps	2020-07-14 17.44.25.00
sha256:001cf01392f20d25aa380a837eaa41402df227e3ed02f130f06f6ca6c9aad536	arm64	Linux	Ubuntu 20.04	5.0.0-preview.7	src/aspnet/5.0/focal/arm64v8/Dockerfile	dotnet/nightly/aspnet	2020-06-26 19.53.45.00
sha256:001cf01392f20d25aa380a837eaa41402df227e3ed02f130f06f6ca6c9aad536	arm64	Linux	Ubuntu 20.04	5.0.0-preview.7	src/aspnet/5.0/focal/arm64v8/Dockerfile	dotnet/nightly/aspnet	2020-06-26 19.53.45.00
sha256:0033c0d3e9ab723cf418bbe136a85b322703c26d1a0f65103a57bf535cb77d72	arm32	Linux	Ubuntu 20.04	5.0.100-rc.2	src/sdk/5.0/focal/arm32v7/Dockerfile	dotnet/nightly/sdk	2020-09-22 15.16.41.00
sha256:003ad31d16f9ae8453b8c8e39b8fd7dcead9c9401024ce670df13846cb324669	amd64	Linux	Alpine 3.11	5.0.100-preview.5	5.0/sdk/alpine3.11/amd64/Dockerfile	dotnet/nightly/sdk	2020-06-03 21.27.29.00
sha256:003faa19041329c3862b58f249dcad1fea1c59d405d5ab3280a7eab6b0fa7939	amd64	Linux	Alpine 3.11	2.1.19	src/aspnet/2.1/alpine3.11/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-07-10 14.30.48.00
sha256:0044f3c520cf35597f69c97324d494d6dafb693c008632dbd929d20224891ea9	amd64	Linux	Ubuntu 20.04	3.1.5	src/aspnet/3.1/focal/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-07-13 14.02.23.00
sha256:0048d770a211f39904d57a268b6752c508ebb05a3d3a9c90a206978f8490b7a2	arm64	Linux	Ubuntu 20.04	5.0.100-preview.7	src/sdk/5.0/focal/arm64v8/Dockerfile	dotnet/nightly/sdk	2020-08-11 14.23.51.00
sha256:004989d2e1c55eda7b7e99c8258122de22ac1c54221f49010899eaa49dcc903b	amd64	Linux	Ubuntu 20.04	2.1.20	src/aspnet/2.1/focal/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-08-11 14.17.31.00
sha256:004e1fd2e8fcddf7c0a5ff30e0fa0aad533884dd692de9f8822764e543b7d767	arm64	Linux	Alpine 3.11	3.1.5	src/runtime-deps/3.1/alpine3.11/arm64v8/Dockerfile	dotnet/core-nightly/runtime-deps	2020-06-30 00.27.09.00
sha256:0055073be6a1d65d045d5da96b546814a8041d9bf2799a4f2631a44152877f92	amd64	Linux	Debian 9	2.1.17	2.1/aspnet/stretch-slim/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-05-08 23.07.29.00
sha256:00683d5afa64a94002ae5fadd70e589d1e681d1599c5243f68ce5b465ea16797	amd64	Windows	"Nano Server, version 1809"	5.0.0	src/runtime/5.0/nanoserver-1809/amd64/Dockerfile	dotnet/nightly/runtime	2020-12-08 18.18.17.00
sha256:006d7b81328a93d1a21d93836931ba348b4f5ed64293dc89a2764b1d4c0cb24d	amd64	Linux	Ubuntu 20.04	2.1.20	src/aspnet/2.1/focal/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-07-17 12.43.03.00
sha256:006d8f10245c1697db1c6cd2f3254f9cd70102da4957d11f1d27b196a18e4da7	amd64	Windows	Windows Server 2019	5.0.100-preview.5	5.0/sdk/nanoserver-1809/amd64/Dockerfile	dotnet/nightly/sdk	2020-06-01 14.13.48.00
sha256:006dec33e15c92241bf29891c662a03f788f2710001813a1101b386a51671216	amd64	Windows	"Windows Server, version 1903"	5.0.0-preview.5	5.0/aspnet/nanoserver-1903/amd64/Dockerfile	dotnet/nightly/aspnet	2020-06-01 18.58.00.00
sha256:006f1be024a921bace7358f268aab1125b0195db2d82eddf2317f15d1932e63e	amd64	Windows	"Windows Server, version 1903"	2.1.18	2.1/aspnet/nanoserver-1903/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-06-04 17.02.31.00
sha256:0071b3bd5840d1d99a32fac70326fae71d89bcc3bee24cfcf06dd677bff0096b	amd64	Linux	Ubuntu 18.04	2.1.20	src/runtime/2.1/bionic/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-07-22 21.07.23.00
sha256:0072adb71f9a9a2ca33376bd6d29bd7c22ca1ef8a420a427256405160a633c21	amd64	Windows	"Windows Server, version 2004"	2.1.20	src/runtime/2.1/nanoserver-2004/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-08-04 14.55.23.00
sha256:007680a7de220aa24ded3654defc32c23ca0d5710b12d3092309fe797760e5ec	amd64	Linux	Alpine 3.12	3.1.5	src/runtime/3.1/alpine3.12/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-06-30 16.22.38.00
sha256:007df0bd766b5fedbd9980b3238773155df069a7435292606d7d83786a80d62f	amd64	Windows	"Nano Server, version 1909"	6.0.0-alpha.1	src/runtime/6.0/nanoserver-1909/amd64/Dockerfile	dotnet/nightly/runtime	2021-01-07 17.02.28.00
sha256:008084f8ea327081b03f7404a81b82b43e1b97239aeaf710e9ad67526b5bb3e5	arm64	Linux	Debian 10	3.1.301	3.1/sdk/buster/arm64v8/Dockerfile	dotnet/core-nightly/sdk	2020-06-12 14.03.20.00
sha256:0084cbe32ef69a1da86d6fe3b236ff7dd8d575e3f02358f4de1d9bc69231b12a	amd64	Linux	Alpine 3.10	3.1.3	3.1/aspnet/alpine3.10/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-27 15.28.13.00
sha256:0089b237dc1ec2b2df2ba51c2b375f75ea3770f268bdcdf76e9137f0d3b5e118	arm64	Linux	Alpine 3.11	3.1.4	3.1/runtime/alpine3.11/arm64v8/Dockerfile	dotnet/core-nightly/runtime	2020-05-19 17.37.40.00
sha256:00915f73b368019f49c62069867882c54ba5daaf08af64ab6dea281440d8ae72	amd64	Linux	Debian 10	3.1.4	3.1/runtime/buster-slim/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-05-19 17.38.07.00
sha256:0097c0c3b2623e278b50fe032844e4816478fe6aa4022f61c73846f1d67de944	arm64	Linux	Debian 10	3.1.404	src/sdk/3.1/buster/arm64v8/Dockerfile	dotnet/nightly/sdk	2020-11-30 20.34.46.00
sha256:0097c0c3b2623e278b50fe032844e4816478fe6aa4022f61c73846f1d67de944	arm64	Linux	Debian 10	3.1.404	src/sdk/3.1/buster/arm64v8/Dockerfile	dotnet/core-nightly/sdk	2020-11-30 20.34.46.00
sha256:009e288ad0842f3c466a4d29eb3627f67ff824d9c16fe01792c42ee3b3eb8ca6	amd64	Linux	Alpine 3.11	3.1.5	3.1/runtime-deps/alpine3.11/amd64/Dockerfile	dotnet/core-nightly/runtime-deps	2020-06-12 14.03.41.00
sha256:00a060813419ff003e9481a4ed7b7bfa1bf0c6e19dad85e8307c849a716f6ca1	arm32	Linux	Ubuntu 20.04	5.0.100-rc.2	src/sdk/5.0/focal/arm32v7/Dockerfile	dotnet/nightly/sdk	2020-09-18 14.39.42.00
sha256:00a42202dc9f116a914b35af4c13e0a1b1488656aaf4d70cb71f0439de380601	amd64	Windows	Windows Server 2019	5.0.100-preview.7	src/sdk/5.0/nanoserver-1809/amd64/Dockerfile	dotnet/nightly/sdk	2020-08-10 16.09.40.00
sha256:00ae918428235cc19c3097a20eadf726d1a37500f9dbd7a4c54517f78995deaf	amd64	Windows	"Windows Server, version 1903"	5.0.0-rc.1	src/runtime/5.0/nanoserver-1903/amd64/Dockerfile	dotnet/nightly/runtime	2020-09-03 18.23.34.00
sha256:00af473b786a4b46848a5c70ba02da21ae2ecaed4b11eb2e946c218105de7b4e	amd64	Linux	Ubuntu 18.04	2.1.17	2.1/runtime/bionic/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-04-28 17.58.38.00
sha256:00b31a633fe29160ed920a6a80b1f661a60d17237a3921f5d186ad419b588da8	amd64	Linux	Alpine 3.12	5.0.0-preview.7	src/aspnet/5.0/alpine3.12/amd64/Dockerfile	dotnet/nightly/aspnet	2020-06-29 20.47.21.00
sha256:00b7a6cd632a2f3b3a888a23c96b2557d998023edff099b5174a015a7ad69af7	arm64	Linux	Ubuntu 20.04	5.0.0-preview.7	src/runtime-deps/5.0/focal/arm64v8/Dockerfile	dotnet/nightly/runtime-deps	2020-07-30 14.12.57.00
sha256:00bb16e42015d1be4cd0819ea2c1e677c0e86dc7e851b41035eb8792c5bf4d0d	amd64	Linux	Ubuntu 20.04	5.0.100-preview.6	src/sdk/5.0/focal/amd64/Dockerfile	dotnet/nightly/sdk	2020-06-16 20.47.44.00
sha256:00bc70deab8d97b3c541f82ca967c741d834cfde40155e4462be2f13f18897bf	arm64	Linux	Debian 10	5.0.0-preview.7	src/aspnet/5.0/buster-slim/arm64v8/Dockerfile	dotnet/nightly/aspnet	2020-07-08 14.32.58.00
sha256:00c3c2d3082a70cbb3978d03e44389425f4631d676a2fe82c67d66341ba17f2b	arm64	Linux	Alpine 3.11	3.1.5	src/runtime/3.1/alpine3.11/arm64v8/Dockerfile	dotnet/core-nightly/runtime	2020-06-23 21.24.42.00
sha256:00c6a1cef702a8c50df6cf51ddc7748cf7d71493e06516ca5d876db99c63da08	arm32	Linux	Debian 10	5.0.0-preview.7	src/runtime/5.0/buster-slim/arm32v7/Dockerfile	dotnet/nightly/runtime	2020-07-17 14.18.09.00
sha256:00c7014e3865411c58efc55471547077bb70b7e467e7fb8f81683efc6ea338ed	amd64	Windows	Windows Server 2019	2.1.17	2.1/runtime/nanoserver-1809/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-04-27 15.29.48.00
sha256:00cc767e0d6d33432a12843136161c15a3198dcd31158c22eb913f461066860e	arm64	Linux	Ubuntu 18.04	3.1.302	src/sdk/3.1/bionic/arm64v8/Dockerfile	dotnet/core-nightly/sdk	2020-08-11 14.23.52.00
sha256:00cd4a3f7cc67e79b3f6e9804d0d1812e7358debef3dcbc7e02a9cf063ad9baf	arm64	Linux	Ubuntu 20.04	5.0.0-rc.2	src/aspnet/5.0/focal/arm64v8/Dockerfile	dotnet/nightly/aspnet	2020-09-18 14.36.32.00
sha256:00cf1c71e3711e2ab2307809771f9033ce8b0e8c8a123b3cf4ee88e5c43609c8	arm64	Linux	Debian 10	6.0.100-alpha.1	src/sdk/6.0/buster-slim/arm64v8/Dockerfile	dotnet/nightly/sdk	2021-01-08 22.02.42.00
sha256:00cf1c71e3711e2ab2307809771f9033ce8b0e8c8a123b3cf4ee88e5c43609c8	arm64	Linux	Debian 10	6.0.100-alpha.1	src/sdk/6.0/buster-slim/arm64v8/Dockerfile	dotnet/nightly/sdk	2021-01-08 22.02.42.00
sha256:00d088f6263edb43e07f5661f3ad59b39a16f4bd1e237de835cd76c0b1928dd1	arm32	Linux	Debian 10	5.0.0-rc.2	src/runtime/5.0/buster-slim/arm32v7/Dockerfile	dotnet/nightly/runtime	2020-09-21 16.35.45.00
sha256:00daed986f6ac8c03eae1662016ee83422a6020c22d118aa0bc611af0628545d	amd64	Linux	Alpine 3.12	2.1.807	src/sdk/2.1/alpine3.12/amd64/Dockerfile	dotnet/core-nightly/sdk	2020-07-01 14.00.11.00
sha256:00e04512da1086120ff9bbcc85effb34e965cae834e78fe60157207b2f698926	arm64	Linux	Ubuntu 20.04	3.1.5	src/runtime-deps/3.1/focal/arm64v8/Dockerfile	dotnet/core-nightly/runtime-deps	2020-06-30 16.22.26.00
sha256:00eb2172cefcbe2925b661415eed9bd27e058aa7de8b0f1aa5ad484ab58353c7	amd64	Linux	Ubuntu 20.04	2.1.19	2.1/runtime/focal/amd64/Dockerfile	dotnet/core-nightly/runtime	2020-06-11 13.49.55.00
sha256:00ec128b7397e22b59d6c382f2a5da6ad2412b916fefb3d39eab7d4ae277dd83	amd64	Windows	"Windows Server, version 2009"	5.0.0	src/aspnet/5.0/nanoserver-2009/amd64/Dockerfile	dotnet/nightly/aspnet	2020-10-27 13.58.59.00
