Image,Arch,OS,OsVersion,ProductVersion,Dockerfile,Repository,BuildTimestamp,ProductFamily
sha256:ac83054b3424623b270bcb14f800447c5fb834837a5a07610e6502b051eedb56,amd64,linux,Debian 10,3.0.3,3.0/runtime-deps/buster-slim/amd64/Dockerfile,dotnet/core/runtime-deps,2020-03-11 13:52:00.00,core
sha256:a06dd4359bed5b56bb2cf90765dd1e97b8a4c66b7634d8732b5fa7640e782560,amd64,linux,Alpine 3.10,3.0.3,3.0/runtime-deps/alpine3.10/amd64/Dockerfile,dotnet/core/runtime-deps,2020-03-11 13:52:00.00,core
sha256:41e9ec74d6eb1656f9ea14fb4077284f2527663e763e8e61391b42405f87c5b3,amd64,windows,Windows Server 2019,2.1.16,2.1/runtime/nanoserver-1809/amd64/Dockerfile,dotnet/core/runtime,2020-03-11 13:52:00.00,core
sha256:490b4a95e8d3cf651f648f05ebd12a8dfa53f0e0d73aed6159a443f6b2287650,amd64,linux,Debian 10,3.0.3,3.0/runtime/buster-slim/amd64/Dockerfile,dotnet/core/runtime,2020-03-11 13:52:00.00,core
sha256:73bdb5d76e70e299dc5a6c91b8de1eab0478c4e4557bb42cc921f009dc3815db,amd64,linux,Alpine 3.10,3.0.3,3.0/runtime/alpine3.10/amd64/Dockerfile,dotnet/core/runtime,2020-03-11 13:52:00.00,core
sha256:65441f7006e260d5f8c4de425f60f7979d3fffb0be542e9ecec8d42a1bc300e0,amd64,windows,Windows Server 2019,3.1.2,3.1/runtime/nanoserver-1809/amd64/Dockerfile,dotnet/core/runtime,2020-03-11 13:52:00.00,core
sha256:870c994960c490e21cb3d99fd23b3149caff5e0d3d036b580bd332c1663bfc1b,arm64,linux,Ubuntu 18.04,3.1.2,3.1/runtime/bionic/arm64v8/Dockerfile,dotnet/core/runtime,2020-03-11 13:52:00.00,core
sha256:a820a3ebeea677034ef63ce40de3cceafc0ef36a246965926e06fc3dcafe6324,amd64,linux,Alpine 3.10,2.1.16,2.1/aspnet/alpine3.10/amd64/Dockerfile,dotnet/core/aspnet,2020-03-11 13:52:00.00,core
sha256:04e74ea0a30df211dbd063c5d185cd33e9c1c8efa604b5850da5ad4d39d55445,amd64,linux,Alpine 3.10,3.0.3,3.0/aspnet/alpine3.10/amd64/Dockerfile,dotnet/core/aspnet,2020-03-11 13:52:00.00,core
sha256:a963521afb6ceaec5c0786d290c67281c153f336fd68f96fa10aa884b012d64e,arm64,linux,Alpine 3.10,3.0.3,3.0/aspnet/alpine3.10/arm64v8/Dockerfile,dotnet/core/aspnet,2020-03-11 13:52:00.00,core
sha256:b71bfb06dbdeca5b68c7b0b451c445b332afcdde5777771ce352d1119dbb2fb8,amd64,windows,Windows Server 2019,2.1.804,2.1/sdk/nanoserver-1809/amd64/Dockerfile,dotnet/core/sdk,2020-03-11 13:52:00.00,core
sha256:2deff3a1669d52998d450888febdeb87ecade4dfe2ae83a581385401d86ddceb,amd64,windows,"Windows Server, version 1903",2.1.804,2.1/sdk/nanoserver-1903/amd64/Dockerfile,dotnet/core/sdk,2020-03-11 13:52:00.00,core
sha256:b3906812d41e505b7b81e4ee54a948d2acb8a2d5af1638b39a4f3d1654105833,amd64,linux,Ubuntu 18.04,3.0.103,3.0/sdk/bionic/amd64/Dockerfile,dotnet/core/sdk,2020-03-11 13:52:00.00,core
sha256:2a53a6d4fa4dcda3c373bf528805475d80aa6da910219303be4b664b66a0674e,arm32,linux,Ubuntu 18.04,3.0.103,3.0/sdk/bionic/arm32v7/Dockerfile,dotnet/core/sdk,2020-03-11 13:52:00.00,core
sha256:26035add307c7cf6295774f1ab9307e77f42a7714957cf924ad0fcdd004695e5,arm32,linux,Ubuntu 18.04,2.1.16,2.1/runtime-deps/bionic/arm32v7/Dockerfile,dotnet/core/runtime-deps,2020-03-11 13:52:00.00,core
sha256:a27feea4ffd2ced70b06caeca0a710eab007b882bb90f9efda1a421e6498682b,amd64,linux,Ubuntu 18.04,3.0.3,3.0/runtime-deps/bionic/amd64/Dockerfile,dotnet/core/runtime-deps,2020-03-11 13:52:00.00,core
sha256:6702bcc3bc6753618de1f31180742f64c76311eafcf82451dd8c38c9e622f497,amd64,windows,"Windows Server, version 1909",2.1.16,2.1/runtime/nanoserver-1909/amd64/Dockerfile,dotnet/core/runtime,2020-03-11 13:52:00.00,core
sha256:5674ae36022fb18a97eb0147c1bbb21bebf34cc62520f285f5581490d99fc60d,arm32,windows,Windows Server 2019,3.0.3,3.0/runtime/nanoserver-1809/arm32v7/Dockerfile,dotnet/core/runtime,2020-03-11 13:52:00.00,core
sha256:4c7586f4d8d3b78d8b719c8ac7e34d1b41f5fd936f796526fbd20ea6cf9bed09,amd64,linux,Ubuntu 18.04,3.0.3,3.0/runtime/bionic/amd64/Dockerfile,dotnet/core/runtime,2020-03-11 13:52:00.00,core
sha256:65b1253fe82b051d5cc01d20eb6c80ab011ff0faa4b74540bc3db079a800d4b0,amd64,windows,"Windows Server, version 1903",3.1.2,3.1/runtime/nanoserver-1903/amd64/Dockerfile,dotnet/core/runtime,2020-03-11 13:52:00.00,core
sha256:7603f81038e2e154fce03f7a001cfb2e109295cdec10a79cac5fcaf530ed4767,amd64,linux,Ubuntu 18.04,3.1.2,3.1/runtime/bionic/amd64/Dockerfile,dotnet/core/runtime,2020-03-11 13:52:00.00,core
