Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:dd11d02162df2c69164a0f3a1e2a5daee4884ea88cf3a73429d187b3110cfda2	arm64	Linux	Alpine 3.11	3.1.8	src/runtime-deps/3.1/alpine3.11/arm64v8/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:45:50.0000000
sha256:61325124a00e16745f8db22c68f70a69a97f832e07070bcff657749099b9b215	arm64	Linux	Alpine 3.11	3.1.8	src/runtime/3.1/alpine3.11/arm64v8/Dockerfile	dotnet/core/runtime	2020-09-08 15:45:54.0000000
sha256:b3f08d8294e66c1e32c6fa5708b1a01ebae8e29f7346fef852dfe29b9ba482eb	arm64	Linux	Alpine 3.12	3.1.8	src/runtime-deps/3.1/alpine3.12/arm64v8/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:45:55.0000000
sha256:b3f08d8294e66c1e32c6fa5708b1a01ebae8e29f7346fef852dfe29b9ba482eb	arm64	Linux	Alpine 3.12	3.1.9	src/runtime-deps/3.1/alpine3.12/arm64v8/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:45:55.0000000
sha256:b3f08d8294e66c1e32c6fa5708b1a01ebae8e29f7346fef852dfe29b9ba482eb	arm64	Linux	Alpine 3.12	5.0.0-rc.2	src/runtime-deps/3.1/alpine3.12/arm64v8/Dockerfile	dotnet/runtime-deps	2020-09-08 15:45:55.0000000
sha256:7f2252c113dc343c1e73a045873786da698bedd26b0c55ad3eeea2f5de967dab	amd64	Linux	Ubuntu 18.04	2.1.22	src/runtime-deps/2.1/bionic/amd64/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:45:59.0000000
sha256:df411bf5b3a4926e3f8a69db4a901e2c288c2b6658ede6e359e6b89960f5ddf2	arm64	Linux	Alpine 3.11	3.1.8	src/aspnet/3.1/alpine3.11/arm64v8/Dockerfile	dotnet/core/aspnet	2020-09-08 15:46:03.0000000
sha256:0e49d29a7fe83e87e2436d317f95f1b24ca0fee43c1234b20fef1f7522f2ab18	amd64	Linux	Debian 10	3.1.8	src/runtime-deps/3.1/buster-slim/amd64/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:03.0000000
sha256:89d9e4e27f1e6a434c38e2c793c117072e8545428b3e326e491f04027322ec6d	arm64	Linux	Alpine 3.12	3.1.8	src/runtime/3.1/alpine3.12/arm64v8/Dockerfile	dotnet/core/runtime	2020-09-08 15:46:05.0000000
sha256:99e83e32051d1b336adc21b07df95f3ead0b66982480f18e880dbabf136023dc	amd64	Linux	Ubuntu 20.04	3.1.8	src/runtime-deps/3.1/focal/amd64/Dockerfile	dotnet/core/runtime-deps	2020-09-08 15:46:05.0000000
