Image	Arch	OS	OsVersion	ProductVersion	Dockerfile	Repository	BuildTimestamp
sha256:000885f548d45a5290e1f6bbcb82b98beecfbca6569018bd436815addb12e47e	amd64	Windows	"Windows Server, version 1909"	3.1.3	3.1/aspnet/nanoserver-1909/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-05-07 00.26.06.00
sha256:004e1fd2e8fcddf7c0a5ff30e0fa0aad533884dd692de9f8822764e543b7d767	arm64	Linux	Alpine 3.11	3.1.5	src/runtime-deps/3.1/alpine3.11/arm64v8/Dockerfile	dotnet/core-nightly/runtime-deps	2020-06-30 00.27.09.00
sha256:0084cbe32ef69a1da86d6fe3b236ff7dd8d575e3f02358f4de1d9bc69231b12a	amd64	Linux	Alpine 3.10	3.1.3	3.1/aspnet/alpine3.10/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-27 15.28.13.00
sha256:00b31a633fe29160ed920a6a80b1f661a60d17237a3921f5d186ad419b588da8	amd64	Linux	Alpine 3.12	5.0.0-preview.7	src/aspnet/5.0/alpine3.12/amd64/Dockerfile	dotnet/nightly/aspnet	2020-06-29 20.47.21.00
sha256:014de8bbab979b15b850431afda2a6f016433c55b6d4449b22dc5672a48e0925	amd64	Linux	Ubuntu 20.04	3.1.3	3.1/aspnet/focal/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-29 13.37.16.00
sha256:01ca81851cb3baed628f0ffdb41b8db530f5850afa487817d7c74430b0975ba8	arm32	Linux	Debian 10	5.0.0-preview.4	5.0/aspnet/buster-slim/arm32v7/Dockerfile	dotnet/core-nightly/aspnet	2020-04-30 13.55.30.00
sha256:01f2d5eba10431ab5180a21cd7f79dda40624494359a5c2a4c9e81cbb662b895	arm64	Linux	Debian 10	3.1.3	3.1/aspnet/buster-slim/arm64v8/Dockerfile	dotnet/core-nightly/aspnet	2020-04-27 15.28.29.00
sha256:024774b719e6e9991e2999b9cb8f4d0ceadb942e9b8bc9045821f11c89e27757	amd64	Linux	Debian 9	2.1.807	src/sdk/2.1/stretch/amd64/Dockerfile	dotnet/core-nightly/sdk	2020-06-29 20.48.35.00
sha256:027f43ee2ac994d5a5e4087966f016eba8dbcffd71735a56416db8de0f3265a6	amd64	Windows	"Windows Server, version 1903"	3.1.3	3.1/aspnet/nanoserver-1903/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-29 14.05.37.00
sha256:030420794b4f6caf104fde87749323d12ab9ff33d232d8e357f1b7e4315a382d	arm64	Linux	Alpine 3.12	5.0.0-preview.8	src/runtime-deps/5.0/alpine3.12/arm64v8/Dockerfile	dotnet/nightly/runtime-deps	2020-08-18 13.01.54.00
sha256:03b8b3af63a52e7234e6ef8d81ffa6a14323b7c23c2c831639126a94844be62d	arm64	Linux	Ubuntu 20.04	3.1.5	src/aspnet/3.1/focal/arm64v8/Dockerfile	dotnet/core-nightly/aspnet	2020-06-29 20.48.04.00
sha256:03bf1a711769ea1ddad6ea5226747a94c2816f9164ecfabecaa0114120859c47	amd64	Linux	Ubuntu 20.04	2.1.17	2.1/aspnet/focal/amd64/Dockerfile	dotnet/core-nightly/aspnet	2020-04-28 17.58.29.00
